Steppingstone sampler:
        No Stones:                  500
        Start It:                   200000001
        It Per Stone:               5000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
364	0.037880	3750	0.049688	316.125601
365	0.037182	3750	0.013145	316.138746
366	0.036493	3750	0.033706	316.172452
367	0.035810	3750	0.024453	316.196905
368	0.035136	3750	0.118472	316.315377
369	0.034469	3750	0.074647	316.390023
370	0.033810	3750	0.103523	316.493546
371	0.033159	3750	0.070923	316.564470
372	0.032515	3750	0.062673	316.627143
373	0.031879	3750	0.035601	316.662743
374	0.031250	3750	-0.091773	316.570971
375	0.030629	3750	-0.088475	316.482496
376	0.030015	3750	-0.087309	316.395187
377	0.029409	3750	-0.066903	316.328284
378	0.028810	3750	-0.165336	316.162948
379	0.028218	3750	-0.139039	316.023909
380	0.027634	3750	-0.107198	315.916710
381	0.027057	3750	-0.159526	315.757184
382	0.026487	3750	-0.192567	315.564617
383	0.025925	3750	-0.150075	315.414542
384	0.025370	3750	-0.106727	315.307815
385	0.024822	3750	-0.157962	315.149853
386	0.024281	3750	-0.178997	314.970857
387	0.023748	3750	-0.204161	314.766696
388	0.023221	3750	-0.181594	314.585102
389	0.022702	3750	-0.106614	314.478488
390	0.022189	3750	-0.126255	314.352233
391	0.021684	3750	-0.153374	314.198859
392	0.021185	3750	-0.133218	314.065641
393	0.020694	3750	-0.191957	313.873684
394	0.020209	3750	-0.166362	313.707321
395	0.019731	3750	-0.135181	313.572140
396	0.019261	3750	-0.214367	313.357773
397	0.018796	3750	-0.218953	313.138820
398	0.018339	3750	-0.227673	312.911147
399	0.017889	3750	-0.241383	312.669764
400	0.017445	3750	-0.264277	312.405487
401	0.017007	3750	-0.279888	312.125599
402	0.016577	3750	-0.228361	311.897237
403	0.016153	3750	-0.263169	311.634068
404	0.015736	3750	-0.243684	311.390384
405	0.015325	3750	-0.241945	311.148439
406	0.014920	3750	-0.252462	310.895977
407	0.014523	3750	-0.256771	310.639206
408	0.014131	3750	-0.233963	310.405243
409	0.013746	3750	-0.211279	310.193963
410	0.013367	3750	-0.198949	309.995014
411	0.012995	3750	-0.191856	309.803158
412	0.012629	3750	-0.225345	309.577812
413	0.012269	3750	-0.205848	309.371964
414	0.011916	3750	-0.250092	309.121873
415	0.011568	3750	-0.248724	308.873149
416	0.011227	3750	-0.242278	308.630871
417	0.010892	3750	-0.239209	308.391663
418	0.010563	3750	-0.209901	308.181762
419	0.010240	3750	-0.229143	307.952619
420	0.009923	3750	-0.229556	307.723062
421	0.009612	3750	-0.232632	307.490431
422	0.009307	3750	-0.203219	307.287212
423	0.009008	3750	-0.216678	307.070534
424	0.008714	3750	-0.229851	306.840684
425	0.008427	3750	-0.237642	306.603042
426	0.008145	3750	-0.234672	306.368369
427	0.007869	3750	-0.222026	306.146343
428	0.007598	3750	-0.202010	305.944333
429	0.007334	3750	-0.199178	305.745155
430	0.007075	3750	-0.198667	305.546488
431	0.006821	3750	-0.203311	305.343177
432	0.006573	3750	-0.175448	305.167729
433	0.006330	3750	-0.169335	304.998394
434	0.006093	3750	-0.173732	304.824662
435	0.005862	3750	-0.181590	304.643072
436	0.005635	3750	-0.184041	304.459031
437	0.005414	3750	-0.192130	304.266901
438	0.005199	3750	-0.188505	304.078396
439	0.004988	3750	-0.169817	303.908580
440	0.004783	3750	-0.165857	303.742723
441	0.004583	3750	-0.166792	303.575931
442	0.004388	3750	-0.170705	303.405226
443	0.004198	3750	-0.167836	303.237389
444	0.004013	3750	-0.149432	303.087958
445	0.003833	3750	-0.164767	302.923191
446	0.003658	3750	-0.151138	302.772053
447	0.003488	3750	-0.147129	302.624924
448	0.003323	3750	-0.143511	302.481413
449	0.003162	3750	-0.134681	302.346732
450	0.003007	3750	-0.129296	302.217436
451	0.002855	3750	-0.128937	302.088499
452	0.002709	3750	-0.124493	301.964006
453	0.002567	3750	-0.120643	301.843363
454	0.002430	3750	-0.122599	301.720764
455	0.002297	3750	-0.117415	301.603349
456	0.002169	3750	-0.118395	301.484954
457	0.002045	3750	-0.116246	301.368709
458	0.001925	3750	-0.109986	301.258723
459	0.001810	3750	-0.103948	301.154775
460	0.001699	3750	-0.104476	301.050299
461	0.001592	3750	-0.102259	300.948040
462	0.001490	3750	-0.098395	300.849645
463	0.001391	3750	-0.093759	300.755886
464	0.001296	3750	-0.087461	300.668425
465	0.001206	3750	-0.084859	300.583566
466	0.001119	3750	-0.079477	300.504090
467	0.001036	3750	-0.075708	300.428382
468	0.000957	3750	-0.073937	300.354444
469	0.000882	3750	-0.073403	300.281042
470	0.000810	3750	-0.070871	300.210171
471	0.000742	3750	-0.065292	300.144878
472	0.000678	3750	-0.062280	300.082598
473	0.000617	3750	-0.054265	300.028333
474	0.000559	3750	-0.056589	299.971744
475	0.000505	3750	-0.051857	299.919887
476	0.000454	3750	-0.049369	299.870518
477	0.000406	3750	-0.045926	299.824592
478	0.000362	3750	-0.043190	299.781402
479	0.000320	3750	-0.039981	299.741421
480	0.000281	3750	-0.035442	299.705979
481	0.000246	3750	-0.031690	299.674289
482	0.000213	3750	-0.030515	299.643775
483	0.000183	3750	-0.028343	299.615432
484	0.000156	3750	-0.025672	299.589761
485	0.000131	3750	-0.023761	299.565999
486	0.000109	3750	-0.021206	299.544793
487	0.000089	3750	-0.018215	299.526578
488	0.000072	3750	-0.016628	299.509950
489	0.000057	3750	-0.014398	299.495552
490	0.000043	3750	-0.012977	299.482575
491	0.000032	3750	-0.011682	299.470893
492	0.000023	3750	-0.008643	299.462249
493	0.000016	3750	-0.007177	299.455072
494	0.000010	3750	-0.006368	299.448704
495	0.000006	3750	-0.004063	299.444641
496	0.000003	3750	-0.002795	299.441845
497	0.000001	3750	-0.001675	299.440171
498	0.000000	3750	-0.000774	299.439397
499	0.000000	3750	-0.000174	299.439223
Log marginal likelihood:	299.439223
