Steppingstone sampler:
        No Stones:                  500
        Start It:                   200000001
        It Per Stone:               5000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
291	0.111618	3750	0.348721	299.018455
292	0.110281	3750	0.365758	299.384213
293	0.108954	3750	0.377190	299.761402
294	0.107637	3750	0.329762	300.091164
295	0.106329	3750	0.352541	300.443705
296	0.105030	3750	0.342821	300.786526
297	0.103742	3750	0.334424	301.120950
298	0.102463	3750	0.323302	301.444252
299	0.101193	3750	0.327223	301.771475
300	0.099933	3750	0.324680	302.096155
301	0.098682	3750	0.324172	302.420326
302	0.097441	3750	0.313080	302.733407
303	0.096209	3750	0.320098	303.053505
304	0.094986	3750	0.334562	303.388067
305	0.093773	3750	0.324677	303.712744
306	0.092570	3750	0.303286	304.016030
307	0.091375	3750	0.328138	304.344168
308	0.090190	3750	0.305533	304.649701
309	0.089014	3750	0.305249	304.954950
310	0.087848	3750	0.233230	305.188180
311	0.086690	3750	0.285993	305.474173
312	0.085542	3750	0.311293	305.785466
313	0.084403	3750	0.310902	306.096367
314	0.083273	3750	0.296534	306.392901
315	0.082152	3750	0.292848	306.685749
316	0.081041	3750	0.288263	306.974012
317	0.079938	3750	0.258936	307.232948
318	0.078845	3750	0.281819	307.514767
319	0.077760	3750	0.278204	307.792971
320	0.076684	3750	0.271441	308.064411
321	0.075618	3750	0.255722	308.320133
322	0.074560	3750	0.270048	308.590182
323	0.073512	3750	0.269890	308.860072
324	0.072472	3750	0.264118	309.124191
325	0.071441	3750	0.238226	309.362417
326	0.070419	3750	0.226839	309.589255
327	0.069406	3750	0.243254	309.832509
328	0.068401	3750	0.253549	310.086059
329	0.067406	3750	0.233180	310.319239
330	0.066419	3750	0.194623	310.513862
331	0.065441	3750	0.235282	310.749144
332	0.064471	3750	0.192691	310.941835
333	0.063510	3750	0.223913	311.165748
334	0.062558	3750	0.249478	311.415226
335	0.061615	3750	0.213342	311.628568
336	0.060680	3750	0.223838	311.852406
337	0.059753	3750	0.226712	312.079119
338	0.058836	3750	0.215373	312.294492
339	0.057926	3750	0.192465	312.486956
340	0.057025	3750	0.202151	312.689108
341	0.056133	3750	0.197999	312.887107
342	0.055249	3750	0.205111	313.092218
343	0.054373	3750	0.213064	313.305282
344	0.053506	3750	0.118520	313.423802
345	0.052647	3750	0.074235	313.498037
346	0.051797	3750	0.084013	313.582050
347	0.050955	3750	0.075271	313.657320
348	0.050121	3750	0.051881	313.709201
349	0.049295	3750	0.061100	313.770301
350	0.048478	3750	0.065735	313.836036
351	0.047668	3750	0.083988	313.920024
352	0.046867	3750	0.082337	314.002361
353	0.046074	3750	0.071176	314.073537
354	0.045289	3750	0.065072	314.138609
355	0.044512	3750	0.067383	314.205992
356	0.043744	3750	0.057352	314.263345
357	0.042983	3750	0.030060	314.293405
358	0.042230	3750	0.036081	314.329485
359	0.041485	3750	0.034310	314.363795
360	0.040749	3750	-0.001388	314.362407
361	0.040020	3750	0.019234	314.381641
362	0.039299	3750	0.063288	314.444929
363	0.038585	3750	0.025119	314.470048
364	0.037880	3750	0.007776	314.477824
365	0.037182	3750	0.074299	314.552123
366	0.036493	3750	0.045207	314.597330
367	0.035810	3750	0.069875	314.667204
368	0.035136	3750	0.114277	314.781482
369	0.034469	3750	0.057500	314.838981
370	0.033810	3750	0.100270	314.939251
371	0.033159	3750	0.066631	315.005883
372	0.032515	3750	0.033799	315.039682
373	0.031879	3750	-0.059126	314.980555
374	0.031250	3750	-0.058422	314.922134
375	0.030629	3750	-0.035876	314.886258
376	0.030015	3750	-0.039575	314.846683
377	0.029409	3750	0.029731	314.876414
378	0.028810	3750	0.023603	314.900017
379	0.028218	3750	0.032204	314.932221
380	0.027634	3750	-0.045986	314.886235
381	0.027057	3750	-0.099767	314.786468
382	0.026487	3750	-0.117567	314.668901
383	0.025925	3750	0.003269	314.672170
384	0.025370	3750	0.011636	314.683806
385	0.024822	3750	-0.045799	314.638007
386	0.024281	3750	0.001910	314.639917
387	0.023748	3750	-0.015337	314.624581
388	0.023221	3750	-0.050279	314.574301
389	0.022702	3750	-0.103749	314.470552
390	0.022189	3750	-0.101927	314.368625
391	0.021684	3750	-0.028430	314.340195
392	0.021185	3750	-0.124141	314.216054
393	0.020694	3750	-0.118854	314.097200
394	0.020209	3750	-0.127131	313.970069
395	0.019731	3750	-0.156074	313.813995
396	0.019261	3750	-0.163753	313.650242
397	0.018796	3750	-0.183237	313.467005
398	0.018339	3750	-0.192353	313.274652
399	0.017889	3750	-0.182797	313.091855
400	0.017445	3750	-0.202711	312.889144
401	0.017007	3750	-0.196399	312.692745
402	0.016577	3750	-0.191733	312.501012
403	0.016153	3750	-0.201896	312.299116
404	0.015736	3750	-0.143050	312.156066
405	0.015325	3750	-0.119677	312.036388
406	0.014920	3750	-0.130958	311.905430
407	0.014523	3750	-0.129606	311.775824
408	0.014131	3750	-0.156648	311.619176
409	0.013746	3750	-0.127917	311.491259
410	0.013367	3750	-0.173845	311.317414
411	0.012995	3750	-0.177391	311.140022
412	0.012629	3750	-0.162588	310.977434
413	0.012269	3750	-0.189527	310.787907
414	0.011916	3750	-0.191896	310.596011
415	0.011568	3750	-0.194537	310.401474
416	0.011227	3750	-0.192247	310.209228
417	0.010892	3750	-0.143438	310.065790
418	0.010563	3750	-0.187779	309.878011
419	0.010240	3750	-0.206631	309.671380
420	0.009923	3750	-0.203415	309.467964
421	0.009612	3750	-0.185990	309.281974
422	0.009307	3750	-0.166481	309.115494
423	0.009008	3750	-0.190483	308.925010
424	0.008714	3750	-0.186161	308.738849
425	0.008427	3750	-0.197191	308.541658
426	0.008145	3750	-0.192981	308.348677
427	0.007869	3750	-0.200044	308.148634
428	0.007598	3750	-0.194169	307.954465
429	0.007334	3750	-0.179082	307.775383
430	0.007075	3750	-0.179996	307.595386
431	0.006821	3750	-0.173295	307.422091
432	0.006573	3750	-0.167716	307.254375
433	0.006330	3750	-0.167814	307.086561
434	0.006093	3750	-0.156798	306.929763
435	0.005862	3750	-0.151947	306.777816
436	0.005635	3750	-0.155390	306.622426
437	0.005414	3750	-0.148406	306.474020
438	0.005199	3750	-0.150221	306.323799
439	0.004988	3750	-0.156589	306.167210
440	0.004783	3750	-0.152967	306.014243
441	0.004583	3750	-0.152833	305.861410
442	0.004388	3750	-0.140822	305.720588
443	0.004198	3750	-0.148857	305.571731
444	0.004013	3750	-0.140234	305.431497
445	0.003833	3750	-0.142738	305.288759
446	0.003658	3750	-0.135270	305.153489
447	0.003488	3750	-0.130843	305.022645
448	0.003323	3750	-0.125420	304.897225
449	0.003162	3750	-0.121101	304.776124
450	0.003007	3750	-0.118278	304.657846
451	0.002855	3750	-0.123363	304.534483
452	0.002709	3750	-0.129773	304.404710
453	0.002567	3750	-0.135130	304.269580
454	0.002430	3750	-0.116857	304.152723
455	0.002297	3750	-0.113713	304.039010
456	0.002169	3750	-0.100750	303.938260
457	0.002045	3750	-0.099960	303.838300
458	0.001925	3750	-0.093581	303.744719
459	0.001810	3750	-0.096615	303.648104
460	0.001699	3750	-0.096156	303.551949
461	0.001592	3750	-0.082148	303.469801
462	0.001490	3750	-0.083794	303.386006
463	0.001391	3750	-0.081891	303.304115
464	0.001296	3750	-0.078335	303.225780
465	0.001206	3750	-0.078634	303.147146
466	0.001119	3750	-0.073737	303.073409
467	0.001036	3750	-0.070162	303.003247
468	0.000957	3750	-0.066779	302.936468
469	0.000882	3750	-0.070103	302.866365
470	0.000810	3750	-0.066942	302.799423
471	0.000742	3750	-0.062125	302.737299
472	0.000678	3750	-0.065856	302.671442
473	0.000617	3750	-0.060087	302.611355
474	0.000559	3750	-0.056918	302.554437
475	0.000505	3750	-0.051279	302.503158
476	0.000454	3750	-0.048907	302.454251
477	0.000406	3750	-0.045893	302.408359
478	0.000362	3750	-0.042859	302.365500
479	0.000320	3750	-0.040009	302.325491
480	0.000281	3750	-0.036648	302.288843
481	0.000246	3750	-0.033372	302.255470
482	0.000213	3750	-0.032929	302.222542
483	0.000183	3750	-0.029220	302.193322
484	0.000156	3750	-0.024543	302.168779
485	0.000131	3750	-0.024695	302.144084
486	0.000109	3750	-0.020710	302.123374
487	0.000089	3750	-0.019352	302.104022
488	0.000072	3750	-0.016787	302.087234
489	0.000057	3750	-0.014308	302.072926
490	0.000043	3750	-0.012748	302.060178
491	0.000032	3750	-0.010577	302.049602
492	0.000023	3750	-0.009028	302.040573
493	0.000016	3750	-0.007073	302.033500
494	0.000010	3750	-0.005298	302.028202
495	0.000006	3750	-0.004069	302.024134
496	0.000003	3750	-0.002816	302.021318
497	0.000001	3750	-0.001649	302.019670
498	0.000000	3750	-0.000797	302.018872
499	0.000000	3750	-0.000172	302.018701
Log marginal likelihood:	302.018701
